S/N,Date,Branch,Pizza Sold,Price,Quantity,Time,Time Range,,
2450,12/11/2015,Lekki,Hot Pepperoni Feast,4000,4,8:59:24 AM,Before 9:00am,,
2451,12/11/2015,Surulere,Chicken Legend,2000,2,8:59:28 AM,Before 9:00am,,
2452,12/9/2015,Ibadan,Pepperoni Feast,4000,5,8:59:29 AM,Before 9:00am,,
2453,12/5/2015,Lekki,Pepperoni Feast,4000,2,8:59:29 AM,Before 9:00am,,
2454,12/12/2015,Ikoyi,Beef Suya,3000,5,8:59:29 AM,Before 9:00am,,
2455,12/12/2015,Ibadan,Veggie Supreme,3000,5,8:59:30 AM,Before 9:00am,,
2456,12/15/2015,Ikoyi,Extravaganza,2000,4,8:59:31 AM,Before 9:00am,,
2457,12/8/2015,Gbagada,Chicken Suya,4000,5,8:59:35 AM,Before 9:00am,,
2458,12/3/2015,Ibadan,Hot Pepperoni Feast,4000,4,8:59:35 AM,Before 9:00am,,
2459,12/9/2015,Ibadan,Hot Veggie,4000,5,8:59:35 AM,Before 9:00am,,
2460,12/6/2015,Lekki,Beef Suya,3000,3,8:59:35 AM,Before 9:00am,,
2461,12/10/2015,Lekki,Extravaganza,2000,2,8:59:37 AM,Before 9:00am,,
2462,12/9/2015,Gbagada,Hot Pepperoni Feast,4000,4,8:59:37 AM,Before 9:00am,,
2463,12/12/2015,Ikoyi,BBQ Philly Steak,4000,5,8:59:39 AM,Before 9:00am,,
2464,12/8/2015,Ibadan,Veggie Supreme,3000,5,8:59:40 AM,Before 9:00am,,
2465,12/9/2015,Ikoyi,Meatzaa,2000,2,8:59:43 AM,Before 9:00am,,
2466,12/3/2015,Ibadan,Italiano,3000,2,8:59:45 AM,Before 9:00am,,
2467,12/13/2015,Lekki,BBQ Chicken,4000,3,8:59:45 AM,Before 9:00am,,
2468,12/7/2015,Gbagada,Pepperoni Feast,4000,1,8:59:45 AM,Before 9:00am,,
2469,12/13/2015,Ikoyi,Italiano,3000,3,8:59:53 AM,Before 9:00am,,
2470,12/11/2015,Ibadan,Hot Veggie,4000,2,8:59:55 AM,Before 9:00am,,
2471,12/4/2015,Ibadan,Pepperoni Suya,3000,1,8:59:55 AM,Before 9:00am,,
2472,12/7/2015,Ikoyi,Veggie Supreme,3000,5,8:59:56 AM,Before 9:00am,,
2473,12/13/2015,Gbagada,Extravaganza,2000,5,8:59:56 AM,Before 9:00am,,
2474,12/9/2015,Ibadan,Margarita,4000,1,8:59:56 AM,Before 9:00am,,
2475,12/4/2015,Surulere,Margarita,4000,3,8:59:57 AM,Before 9:00am,,
2476,12/6/2015,Ikoyi,Extravaganza,2000,1,8:59:58 AM,Before 9:00am,,
2477,12/7/2015,Lekki,Margarita,4000,1,8:59:59 AM,Before 9:00am,,
2478,12/8/2015,Surulere,BBQ Philly Steak,4000,2,9:00:00 AM,Before 9:00am,,
2479,12/12/2015,Surulere,Hot Veggie,4000,2,9:00:00 AM,Before 9:00am,,
2480,12/5/2015,Surulere,Pepperoni Suya,3000,2,9:00:01 AM,After 9:00am,,
2481,12/5/2015,Surulere,Meatzaa,2000,5,9:00:01 AM,After 9:00am,,
2482,12/3/2015,Surulere,Hot Pepperoni Feast,4000,5,9:00:03 AM,After 9:00am,,
2483,12/7/2015,Ikoyi,Chicken Suya,4000,3,9:00:04 AM,After 9:00am,,
2484,12/15/2015,Surulere,Chicken Suya,4000,5,9:00:05 AM,After 9:00am,,
2485,12/13/2015,Ibadan,Extravaganza,2000,5,9:00:06 AM,After 9:00am,,
2486,12/11/2015,Ibadan,Hot Pepperoni Feast,4000,3,9:00:07 AM,After 9:00am,,
2487,12/15/2015,Ibadan,Chicken Suya,4000,2,9:00:07 AM,After 9:00am,,
2488,12/5/2015,Ibadan,Hot Pepperoni Feast,4000,1,9:00:08 AM,After 9:00am,,
2489,12/13/2015,Surulere,Pepperoni Suya,3000,2,9:00:10 AM,After 9:00am,,
2490,12/4/2015,Lekki,Margarita,4000,5,9:00:10 AM,After 9:00am,,
2491,12/8/2015,Surulere,BBQ Chicken,4000,1,9:00:11 AM,After 9:00am,,
2492,12/12/2015,Ibadan,Beef Suya,3000,2,9:00:12 AM,After 9:00am,,
2493,12/5/2015,Ibadan,Pepperoni Feast,4000,3,9:00:13 AM,After 9:00am,,
2494,12/13/2015,Ikoyi,BBQ Philly Steak,4000,4,9:00:16 AM,After 9:00am,,
2495,12/9/2015,Ibadan,Chicken Feast,2000,1,9:00:18 AM,After 9:00am,,
2496,12/11/2015,Lekki,Hot Veggie,4000,2,9:00:18 AM,After 9:00am,,
2497,12/8/2015,Lekki,Italiano,3000,1,9:00:18 AM,After 9:00am,,
2498,12/9/2015,Ikoyi,Hot Veggie,4000,4,9:00:22 AM,After 9:00am,,
2499,12/15/2015,Ikoyi,Chicken Legend,2000,2,9:00:22 AM,After 9:00am,,
2500,12/13/2015,Ikoyi,Chicken Legend,2000,5,9:00:24 AM,After 9:00am,,
2501,12/8/2015,Ikoyi,Chicken Legend,2000,4,9:00:24 AM,After 9:00am,,
2502,12/12/2015,Ikoyi,Extravaganza,2000,4,9:00:25 AM,After 9:00am,,
2503,12/11/2015,Gbagada,Chicken Feast,2000,4,9:00:26 AM,After 9:00am,,
2504,12/3/2015,Ikoyi,Beef Suya,3000,2,9:00:26 AM,After 9:00am,,
2505,12/14/2015,Gbagada,Chicken Suya,4000,3,9:00:27 AM,After 9:00am,,
2506,12/10/2015,Lekki,Pepperoni Suya,3000,5,9:00:30 AM,After 9:00am,,
2507,12/10/2015,Surulere,Hot Pepperoni Feast,4000,3,9:00:30 AM,After 9:00am,,
2508,12/11/2015,Ikoyi,Chicken Feast,2000,2,9:00:30 AM,After 9:00am,,
2509,12/10/2015,Ikoyi,Chicken Legend,2000,2,9:00:32 AM,After 9:00am,,
2510,12/13/2015,Ikoyi,Chicken Bali,2000,5,9:00:32 AM,After 9:00am,,
2511,12/11/2015,Ikoyi,Meatzaa,2000,1,9:00:33 AM,After 9:00am,,
2512,12/8/2015,Lekki,Veggie Supreme,3000,2,9:00:33 AM,After 9:00am,,
2513,12/15/2015,Gbagada,Beef Suya,3000,2,9:00:33 AM,After 9:00am,,
2514,12/3/2015,Ibadan,Pepperoni Suya,3000,5,9:00:35 AM,After 9:00am,,
2515,12/6/2015,Ibadan,BBQ Chicken,4000,3,9:00:36 AM,After 9:00am,,
2516,12/9/2015,Surulere,Italiano,3000,3,9:00:36 AM,After 9:00am,,
2517,12/10/2015,Gbagada,Chicken Bali,2000,1,9:00:37 AM,After 9:00am,,
2518,12/3/2015,Ikoyi,Chicken Suya,4000,5,9:00:39 AM,After 9:00am,,
2519,12/8/2015,Surulere,Hot Veggie,4000,3,9:00:39 AM,After 9:00am,,
2520,12/4/2015,Ibadan,Meatzaa,2000,4,9:00:42 AM,After 9:00am,,
2521,12/4/2015,Surulere,BBQ Chicken,4000,5,9:00:43 AM,After 9:00am,,
2522,12/11/2015,Gbagada,Pepperoni Feast,4000,5,9:00:43 AM,After 9:00am,,
2523,12/13/2015,Surulere,Beef Suya,3000,1,9:00:43 AM,After 9:00am,,
2524,12/10/2015,Gbagada,Veggie Supreme,3000,4,9:00:43 AM,After 9:00am,,
2525,12/5/2015,Ibadan,Pepperoni Feast,4000,3,9:00:44 AM,After 9:00am,,
2526,12/7/2015,Gbagada,Extravaganza,2000,5,9:00:47 AM,After 9:00am,,
2527,12/7/2015,Ikoyi,Meatzaa,2000,1,9:00:47 AM,After 9:00am,,
2528,12/5/2015,Gbagada,Pepperoni Suya,3000,5,9:00:47 AM,After 9:00am,,
2529,12/6/2015,Lekki,Meatzaa,2000,3,9:00:47 AM,After 9:00am,,
2530,12/13/2015,Ikoyi,Beef Suya,3000,5,9:00:49 AM,After 9:00am,,
2531,12/10/2015,Ibadan,Pepperoni Suya,3000,3,9:00:49 AM,After 9:00am,,
2532,12/10/2015,Lekki,Pepperoni Feast,4000,2,9:00:50 AM,After 9:00am,,
2533,12/4/2015,Ikoyi,Beef Suya,3000,2,9:00:50 AM,After 9:00am,,
2534,12/15/2015,Ikoyi,Italiano,3000,5,9:00:51 AM,After 9:00am,,
2535,12/6/2015,Lekki,Chicken Feast,2000,2,9:00:53 AM,After 9:00am,,
2536,12/12/2015,Surulere,Pepperoni Feast,4000,2,9:00:53 AM,After 9:00am,,
2537,12/4/2015,Ikoyi,Extravaganza,2000,4,9:00:58 AM,After 9:00am,,
2538,12/14/2015,Lekki,Italiano,3000,1,9:01:01 AM,After 9:00am,,
2539,12/15/2015,Ibadan,Pepperoni Suya,3000,3,9:01:03 AM,After 9:00am,,
2540,12/15/2015,Ibadan,Pepperoni Feast,4000,1,9:01:03 AM,After 9:00am,,
2541,12/15/2015,Ikoyi,Pepperoni Suya,3000,2,9:01:04 AM,After 9:00am,,
2542,12/3/2015,Lekki,Beef Suya,3000,3,9:01:04 AM,After 9:00am,,
2543,12/3/2015,Gbagada,Hot Veggie,4000,2,9:01:05 AM,After 9:00am,,
2544,12/7/2015,Ikoyi,BBQ Philly Steak,4000,4,9:01:07 AM,After 9:00am,,
2545,12/12/2015,Ikoyi,Beef Suya,3000,3,9:01:07 AM,After 9:00am,,
2546,12/15/2015,Ibadan,Pepperoni Feast,4000,5,9:01:07 AM,After 9:00am,,
2547,12/11/2015,Gbagada,Chicken Legend,2000,2,9:01:07 AM,After 9:00am,,
2548,12/11/2015,Gbagada,Beef Suya,3000,2,9:01:08 AM,After 9:00am,,
2549,12/8/2015,Ikoyi,Italiano,3000,2,9:01:08 AM,After 9:00am,,
2550,12/10/2015,Lekki,Pepperoni Feast,4000,5,9:01:08 AM,After 9:00am,,
2551,12/9/2015,Ikoyi,Beef Suya,3000,3,9:01:08 AM,After 9:00am,,
2552,12/6/2015,Gbagada,Hot Veggie,4000,2,9:01:08 AM,After 9:00am,,
2553,12/4/2015,Ibadan,Hot Pepperoni Feast,4000,2,9:01:10 AM,After 9:00am,,
2554,12/5/2015,Ibadan,Italiano,3000,3,9:01:10 AM,After 9:00am,,
2555,12/14/2015,Ibadan,Hot Pepperoni Feast,4000,5,9:01:11 AM,After 9:00am,,
2556,12/10/2015,Ikoyi,Beef Suya,3000,4,9:01:12 AM,After 9:00am,,
2557,12/11/2015,Lekki,Pepperoni Feast,4000,3,9:01:12 AM,After 9:00am,,
2558,12/9/2015,Lekki,Italiano,3000,5,9:01:12 AM,After 9:00am,,
2559,12/14/2015,Ikoyi,Italiano,3000,4,9:01:13 AM,After 9:00am,,
2560,12/11/2015,Surulere,Meatzaa,2000,2,9:01:14 AM,After 9:00am,,
2561,12/10/2015,Gbagada,BBQ Chicken,4000,1,9:01:15 AM,After 9:00am,,
2562,12/3/2015,Lekki,BBQ Chicken,4000,3,9:01:15 AM,After 9:00am,,
2563,12/14/2015,Surulere,Hot Veggie,4000,1,9:01:15 AM,After 9:00am,,
2564,12/5/2015,Ikoyi,Pepperoni Suya,3000,2,9:01:15 AM,After 9:00am,,
2565,12/3/2015,Ibadan,BBQ Philly Steak,4000,2,9:01:16 AM,After 9:00am,,
2566,12/13/2015,Surulere,Pepperoni Feast,4000,3,9:01:19 AM,After 9:00am,,
2567,12/7/2015,Gbagada,BBQ Chicken,4000,3,9:01:19 AM,After 9:00am,,
2568,12/7/2015,Ikoyi,Hot Pepperoni Feast,4000,1,9:01:22 AM,After 9:00am,,
2569,12/3/2015,Surulere,Chicken Bali,2000,2,9:01:23 AM,After 9:00am,,
2570,12/5/2015,Surulere,Veggie Supreme,3000,3,9:01:23 AM,After 9:00am,,
2571,12/6/2015,Ibadan,Extravaganza,2000,2,9:01:25 AM,After 9:00am,,
2572,12/7/2015,Ikoyi,Margarita,4000,5,9:01:25 AM,After 9:00am,,
2573,12/13/2015,Ibadan,Pepperoni Feast,4000,2,9:01:25 AM,After 9:00am,,
2574,12/6/2015,Ibadan,Pepperoni Suya,3000,3,9:01:27 AM,After 9:00am,,
2575,12/3/2015,Ikoyi,Margarita,4000,5,9:01:27 AM,After 9:00am,,
2576,12/9/2015,Surulere,Chicken Legend,2000,4,9:01:31 AM,After 9:00am,,
2577,12/7/2015,Ikoyi,Veggie Supreme,3000,4,9:01:32 AM,After 9:00am,,
2578,12/13/2015,Ikoyi,Pepperoni Suya,3000,3,9:01:33 AM,After 9:00am,,
2579,12/10/2015,Ibadan,Chicken Legend,2000,3,9:01:33 AM,After 9:00am,,
2580,12/13/2015,Lekki,Margarita,4000,3,9:01:33 AM,After 9:00am,,
2581,12/11/2015,Gbagada,BBQ Chicken,4000,1,9:01:33 AM,After 9:00am,,
2582,12/12/2015,Lekki,Chicken Legend,2000,4,9:01:35 AM,After 9:00am,,
2583,12/9/2015,Surulere,BBQ Chicken,4000,4,9:01:35 AM,After 9:00am,,
2584,12/14/2015,Gbagada,BBQ Chicken,4000,4,9:01:38 AM,After 9:00am,,
2585,12/14/2015,Gbagada,Pepperoni Suya,3000,5,9:01:40 AM,After 9:00am,,
2586,12/8/2015,Surulere,Extravaganza,2000,5,9:01:45 AM,After 9:00am,,
2587,12/10/2015,Ibadan,Chicken Feast,2000,3,9:01:47 AM,After 9:00am,,
2588,12/12/2015,Surulere,Chicken Legend,2000,5,9:01:47 AM,After 9:00am,,
2589,12/13/2015,Ikoyi,Extravaganza,2000,2,9:01:53 AM,After 9:00am,,
2590,12/14/2015,Surulere,BBQ Philly Steak,4000,1,9:01:54 AM,After 9:00am,,
2591,12/10/2015,Gbagada,Margarita,4000,3,9:01:55 AM,After 9:00am,,
2592,12/9/2015,Lekki,Italiano,3000,4,9:01:57 AM,After 9:00am,,
2593,12/5/2015,Surulere,Beef Suya,3000,3,9:01:57 AM,After 9:00am,,
2594,12/5/2015,Surulere,Extravaganza,2000,5,9:01:58 AM,After 9:00am,,
2595,12/5/2015,Ikoyi,Hot Pepperoni Feast,4000,3,9:01:59 AM,After 9:00am,,
2596,12/6/2015,Surulere,Meatzaa,2000,5,9:02:00 AM,After 9:00am,,
2597,12/13/2015,Ikoyi,Italiano,3000,1,9:02:00 AM,After 9:00am,,
2598,12/4/2015,Ibadan,Chicken Feast,2000,5,9:02:01 AM,After 9:00am,,
2599,12/13/2015,Ikoyi,Extravaganza,2000,5,9:02:02 AM,After 9:00am,,
2600,12/15/2015,Surulere,Pepperoni Feast,4000,1,9:02:04 AM,After 9:00am,,
2601,12/8/2015,Surulere,Hot Pepperoni Feast,4000,1,9:02:04 AM,After 9:00am,,
2602,12/6/2015,Lekki,Hot Pepperoni Feast,4000,5,9:02:06 AM,After 9:00am,,
2603,12/13/2015,Lekki,Veggie Supreme,3000,3,9:02:07 AM,After 9:00am,,
2604,12/7/2015,Ikoyi,Hot Veggie,4000,4,9:02:09 AM,After 9:00am,,
2605,12/15/2015,Ikoyi,Hot Veggie,4000,1,9:02:09 AM,After 9:00am,,
2606,12/9/2015,Surulere,Extravaganza,2000,2,9:02:10 AM,After 9:00am,,
2607,12/13/2015,Ibadan,Chicken Feast,2000,2,9:02:10 AM,After 9:00am,,
2608,12/3/2015,Gbagada,Beef Suya,3000,1,9:02:12 AM,After 9:00am,,
2609,12/10/2015,Lekki,Veggie Supreme,3000,1,9:02:13 AM,After 9:00am,,
2610,12/5/2015,Ibadan,Extravaganza,2000,5,9:02:13 AM,After 9:00am,,
2611,12/11/2015,Gbagada,Chicken Bali,2000,3,9:02:16 AM,After 9:00am,,
2612,12/7/2015,Ibadan,Pepperoni Suya,3000,4,9:02:16 AM,After 9:00am,,
2613,12/6/2015,Surulere,BBQ Chicken,4000,2,9:02:17 AM,After 9:00am,,
2614,12/5/2015,Ikoyi,Pepperoni Feast,4000,1,9:02:17 AM,After 9:00am,,
2615,12/3/2015,Lekki,Hot Pepperoni Feast,4000,2,9:02:21 AM,After 9:00am,,
2616,12/7/2015,Ikoyi,Italiano,3000,1,9:02:22 AM,After 9:00am,,
2617,12/8/2015,Ibadan,Pepperoni Feast,4000,5,9:02:23 AM,After 9:00am,,
2618,12/4/2015,Surulere,Chicken Suya,4000,4,9:02:23 AM,After 9:00am,,
2619,12/9/2015,Ikoyi,Italiano,3000,4,9:02:24 AM,After 9:00am,,
2620,12/14/2015,Gbagada,Italiano,3000,1,9:02:26 AM,After 9:00am,,
2621,12/12/2015,Surulere,Chicken Suya,4000,1,9:02:26 AM,After 9:00am,,
2622,12/12/2015,Lekki,Chicken Bali,2000,2,9:02:26 AM,After 9:00am,,
2623,12/6/2015,Surulere,Chicken Feast,2000,4,9:02:27 AM,After 9:00am,,
2624,12/14/2015,Gbagada,Veggie Supreme,3000,2,9:02:28 AM,After 9:00am,,
2625,12/6/2015,Gbagada,Pepperoni Suya,3000,2,9:02:28 AM,After 9:00am,,
2626,12/13/2015,Ibadan,BBQ Chicken,4000,4,9:02:29 AM,After 9:00am,,
2627,12/9/2015,Ibadan,Extravaganza,2000,5,9:02:32 AM,After 9:00am,,
2628,12/12/2015,Lekki,Chicken Feast,2000,4,9:02:32 AM,After 9:00am,,
2629,12/12/2015,Gbagada,Beef Suya,3000,5,9:02:32 AM,After 9:00am,,
2630,12/7/2015,Lekki,Chicken Suya,4000,5,9:02:33 AM,After 9:00am,,
2631,12/5/2015,Surulere,Italiano,3000,5,9:02:34 AM,After 9:00am,,
2632,12/14/2015,Lekki,Pepperoni Suya,3000,2,9:02:35 AM,After 9:00am,,
2633,12/8/2015,Gbagada,Margarita,4000,5,9:02:36 AM,After 9:00am,,
2634,12/11/2015,Surulere,BBQ Philly Steak,4000,3,9:02:38 AM,After 9:00am,,
2635,12/7/2015,Gbagada,Beef Suya,3000,5,9:02:38 AM,After 9:00am,,
2636,12/10/2015,Ikoyi,Hot Pepperoni Feast,4000,2,9:02:41 AM,After 9:00am,,
2637,12/3/2015,Ibadan,Veggie Supreme,3000,5,9:02:44 AM,After 9:00am,,
2638,12/14/2015,Lekki,Pepperoni Feast,4000,5,9:02:46 AM,After 9:00am,,
2639,12/13/2015,Gbagada,Italiano,3000,3,9:02:47 AM,After 9:00am,,
2640,12/10/2015,Surulere,BBQ Chicken,4000,4,9:02:47 AM,After 9:00am,,
2641,12/4/2015,Ikoyi,Beef Suya,3000,4,9:02:47 AM,After 9:00am,,
2642,12/13/2015,Lekki,Chicken Suya,4000,1,9:02:47 AM,After 9:00am,,
2643,12/4/2015,Gbagada,Margarita,4000,5,9:02:47 AM,After 9:00am,,
2644,12/5/2015,Ibadan,Chicken Legend,2000,4,9:02:50 AM,After 9:00am,,
2645,12/15/2015,Surulere,Meatzaa,2000,3,9:02:50 AM,After 9:00am,,
2646,12/7/2015,Surulere,Veggie Supreme,3000,2,9:02:51 AM,After 9:00am,,
2647,12/4/2015,Gbagada,Chicken Feast,2000,4,9:02:51 AM,After 9:00am,,
2648,12/13/2015,Gbagada,Chicken Suya,4000,1,9:02:53 AM,After 9:00am,,
2649,12/14/2015,Gbagada,Chicken Bali,2000,3,9:02:53 AM,After 9:00am,,
2650,12/5/2015,Ikoyi,Chicken Feast,2000,4,9:02:57 AM,After 9:00am,,
2651,12/4/2015,Ibadan,Meatzaa,2000,1,9:03:00 AM,After 9:00am,,
2652,12/6/2015,Lekki,Meatzaa,2000,3,9:03:01 AM,After 9:00am,,
2653,12/5/2015,Lekki,Italiano,3000,5,9:03:03 AM,After 9:00am,,
2654,12/3/2015,Gbagada,Chicken Legend,2000,2,9:03:04 AM,After 9:00am,,
2655,12/11/2015,Lekki,Chicken Suya,4000,4,9:03:04 AM,After 9:00am,,
2656,12/8/2015,Gbagada,Chicken Suya,4000,4,9:03:05 AM,After 9:00am,,
2657,12/6/2015,Surulere,Veggie Supreme,3000,3,9:03:07 AM,After 9:00am,,
2658,12/13/2015,Gbagada,Hot Veggie,4000,1,9:03:08 AM,After 9:00am,,
2659,12/9/2015,Surulere,Hot Pepperoni Feast,4000,1,9:03:09 AM,After 9:00am,,
2660,12/14/2015,Lekki,Chicken Bali,2000,1,9:03:10 AM,After 9:00am,,
2661,12/9/2015,Surulere,Pepperoni Suya,3000,1,9:03:10 AM,After 9:00am,,
2662,12/5/2015,Lekki,Pepperoni Feast,4000,4,9:03:10 AM,After 9:00am,,
2663,12/9/2015,Gbagada,Meatzaa,2000,3,9:03:12 AM,After 9:00am,,
2664,12/8/2015,Surulere,Chicken Suya,4000,5,9:03:12 AM,After 9:00am,,
2665,12/5/2015,Surulere,Chicken Bali,2000,2,9:03:13 AM,After 9:00am,,
2666,12/14/2015,Ikoyi,BBQ Philly Steak,4000,2,9:03:14 AM,After 9:00am,,
2667,12/6/2015,Surulere,Hot Pepperoni Feast,4000,1,9:03:15 AM,After 9:00am,,
2668,12/5/2015,Gbagada,Hot Pepperoni Feast,4000,4,9:03:15 AM,After 9:00am,,
2669,12/8/2015,Gbagada,Beef Suya,3000,1,9:03:15 AM,After 9:00am,,
2670,12/5/2015,Surulere,Margarita,4000,1,9:03:15 AM,After 9:00am,,
2671,12/3/2015,Lekki,Beef Suya,3000,3,9:03:16 AM,After 9:00am,,
2672,12/12/2015,Ikoyi,Chicken Legend,2000,3,9:03:18 AM,After 9:00am,,
2673,12/7/2015,Ibadan,Pepperoni Suya,3000,1,9:03:20 AM,After 9:00am,,
2674,12/4/2015,Gbagada,Hot Veggie,4000,1,9:03:21 AM,After 9:00am,,
2675,12/15/2015,Ikoyi,Extravaganza,2000,4,9:03:22 AM,After 9:00am,,
2676,12/8/2015,Lekki,Hot Pepperoni Feast,4000,3,9:03:22 AM,After 9:00am,,
2677,12/5/2015,Ikoyi,Extravaganza,2000,1,9:03:22 AM,After 9:00am,,
2678,12/10/2015,Lekki,Pepperoni Feast,4000,5,9:03:22 AM,After 9:00am,,
2679,12/7/2015,Surulere,Pepperoni Suya,3000,1,9:03:25 AM,After 9:00am,,
2680,12/3/2015,Ikoyi,Hot Veggie,4000,5,9:03:25 AM,After 9:00am,,
2681,12/13/2015,Ibadan,Extravaganza,2000,2,9:03:27 AM,After 9:00am,,
2682,12/8/2015,Ikoyi,Chicken Bali,2000,5,9:03:27 AM,After 9:00am,,
2683,12/14/2015,Ibadan,Hot Veggie,4000,5,9:03:28 AM,After 9:00am,,
2684,12/10/2015,Gbagada,Hot Pepperoni Feast,4000,1,9:03:29 AM,After 9:00am,,
2685,12/14/2015,Ibadan,Chicken Feast,2000,3,9:03:29 AM,After 9:00am,,
2686,12/3/2015,Lekki,Veggie Supreme,3000,1,9:03:29 AM,After 9:00am,,
2687,12/3/2015,Gbagada,Chicken Legend,2000,4,9:03:30 AM,After 9:00am,,
2688,12/13/2015,Surulere,Hot Veggie,4000,5,9:03:31 AM,After 9:00am,,
2689,12/15/2015,Surulere,BBQ Chicken,4000,3,9:03:31 AM,After 9:00am,,
2690,12/14/2015,Surulere,Italiano,3000,3,9:03:35 AM,After 9:00am,,
2691,12/3/2015,Ibadan,BBQ Chicken,4000,1,9:03:35 AM,After 9:00am,,
2692,12/12/2015,Lekki,BBQ Philly Steak,4000,3,9:03:36 AM,After 9:00am,,
2693,12/10/2015,Lekki,Italiano,3000,2,9:03:37 AM,After 9:00am,,
2694,12/14/2015,Ibadan,Meatzaa,2000,4,9:03:42 AM,After 9:00am,,
2695,12/5/2015,Ibadan,Meatzaa,2000,3,9:03:47 AM,After 9:00am,,
2696,12/5/2015,Surulere,Chicken Legend,2000,5,9:03:48 AM,After 9:00am,,
2697,12/5/2015,Surulere,BBQ Chicken,4000,2,9:03:49 AM,After 9:00am,,
2698,12/13/2015,Lekki,BBQ Philly Steak,4000,2,9:03:50 AM,After 9:00am,,
2699,12/7/2015,Ikoyi,Beef Suya,3000,4,9:03:50 AM,After 9:00am,,
2700,12/15/2015,Lekki,Meatzaa,2000,3,9:03:52 AM,After 9:00am,,
2701,12/5/2015,Gbagada,Pepperoni Suya,3000,4,9:03:52 AM,After 9:00am,,
2702,12/6/2015,Ibadan,Margarita,4000,3,9:03:53 AM,After 9:00am,,
2703,12/14/2015,Ibadan,Pepperoni Feast,4000,3,9:03:53 AM,After 9:00am,,
2704,12/3/2015,Surulere,Beef Suya,3000,1,9:03:54 AM,After 9:00am,,
2705,12/10/2015,Ibadan,Hot Pepperoni Feast,4000,1,9:03:55 AM,After 9:00am,,
2706,12/5/2015,Ikoyi,BBQ Philly Steak,4000,4,9:03:56 AM,After 9:00am,,
2707,12/9/2015,Lekki,Extravaganza,2000,4,9:03:56 AM,After 9:00am,,
2708,12/12/2015,Surulere,BBQ Chicken,4000,3,9:03:56 AM,After 9:00am,,
2709,12/8/2015,Lekki,Chicken Bali,2000,4,9:03:56 AM,After 9:00am,,
2710,12/11/2015,Gbagada,Italiano,3000,2,9:03:57 AM,After 9:00am,,
2711,12/3/2015,Lekki,Chicken Legend,2000,1,9:04:02 AM,After 9:00am,,
2712,12/14/2015,Ikoyi,Chicken Legend,2000,5,9:04:02 AM,After 9:00am,,
2713,12/12/2015,Gbagada,Meatzaa,2000,2,9:04:03 AM,After 9:00am,,
2714,12/13/2015,Surulere,Hot Pepperoni Feast,4000,3,9:04:05 AM,After 9:00am,,
2715,12/4/2015,Surulere,Chicken Legend,2000,3,9:04:07 AM,After 9:00am,,
2716,12/10/2015,Gbagada,Hot Pepperoni Feast,4000,4,9:04:07 AM,After 9:00am,,
2717,12/5/2015,Ikoyi,Chicken Feast,2000,2,9:04:07 AM,After 9:00am,,
2718,12/10/2015,Ibadan,Veggie Supreme,3000,5,9:04:07 AM,After 9:00am,,
2719,12/13/2015,Gbagada,Veggie Supreme,3000,1,9:04:08 AM,After 9:00am,,
2720,12/4/2015,Gbagada,Italiano,3000,3,9:04:08 AM,After 9:00am,,
2721,12/5/2015,Gbagada,Chicken Suya,4000,3,9:04:08 AM,After 9:00am,,
2722,12/11/2015,Lekki,Veggie Supreme,3000,3,9:04:08 AM,After 9:00am,,
2723,12/12/2015,Surulere,Pepperoni Feast,4000,3,9:04:08 AM,After 9:00am,,
2724,12/3/2015,Gbagada,Hot Veggie,4000,5,9:04:12 AM,After 9:00am,,
2725,12/4/2015,Lekki,Margarita,4000,1,9:04:12 AM,After 9:00am,,
2726,12/5/2015,Ibadan,Italiano,3000,1,9:04:12 AM,After 9:00am,,
2727,12/9/2015,Lekki,Hot Veggie,4000,4,9:04:14 AM,After 9:00am,,
2728,12/8/2015,Lekki,Italiano,3000,2,9:04:14 AM,After 9:00am,,
2729,12/12/2015,Ikoyi,Veggie Supreme,3000,3,9:04:15 AM,After 9:00am,,
2730,12/7/2015,Gbagada,Margarita,4000,4,9:04:15 AM,After 9:00am,,
2731,12/13/2015,Ibadan,Hot Pepperoni Feast,4000,1,9:04:16 AM,After 9:00am,,
2732,12/10/2015,Ikoyi,Chicken Legend,2000,2,9:04:22 AM,After 9:00am,,
2733,12/11/2015,Gbagada,Pepperoni Feast,4000,2,9:04:22 AM,After 9:00am,,
2734,12/6/2015,Lekki,Extravaganza,2000,4,9:04:22 AM,After 9:00am,,
2735,12/4/2015,Gbagada,Italiano,3000,3,9:04:26 AM,After 9:00am,,
2736,12/13/2015,Ikoyi,Hot Pepperoni Feast,4000,1,9:04:26 AM,After 9:00am,,
2737,12/9/2015,Ibadan,Chicken Suya,4000,3,9:04:28 AM,After 9:00am,,
2738,12/5/2015,Ikoyi,Chicken Suya,4000,5,9:04:28 AM,After 9:00am,,
2739,12/9/2015,Lekki,BBQ Chicken,4000,3,9:04:30 AM,After 9:00am,,
2740,12/9/2015,Lekki,Chicken Legend,2000,5,9:04:31 AM,After 9:00am,,
2741,12/6/2015,Ikoyi,BBQ Philly Steak,4000,1,9:04:32 AM,After 9:00am,,
2742,12/11/2015,Gbagada,Chicken Feast,2000,1,9:04:34 AM,After 9:00am,,
2743,12/12/2015,Lekki,Meatzaa,2000,5,9:04:34 AM,After 9:00am,,
2744,12/15/2015,Gbagada,BBQ Chicken,4000,2,9:04:34 AM,After 9:00am,,
